epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8743,2.15956,5.50417,2.16209,0.0003,0.07143,0.00027,0.00016,2.99113,5.93968,2.65214,1.818e-05,1.818e-05,1.818e-05
2,27.4724,2.04697,5.12428,2.18756,0.00031,0.07143,0.00026,0.00016,3.00116,6.03392,2.65338,4.47001e-05,4.47001e-05,4.47001e-05
3,37.7897,1.94461,5.51906,1.99517,0.15217,0.11905,0.05779,0.01743,2.06014,4.42745,2.04752,7.03202e-05,7.03202e-05,7.03202e-05
4,49.4322,1.29296,3.27746,1.41477,0.3131,0.33333,0.32915,0.24382,1.39825,3.43527,1.31854,9.50405e-05,9.50405e-05,9.50405e-05
5,60.4789,1.30332,2.75329,1.2984,0.51915,0.56551,0.46785,0.31846,1.2623,3.0521,1.22637,0.000118861,0.000118861,0.000118861
6,71.8716,0.99356,2.37236,1.24757,0.71784,0.55626,0.41866,0.31988,1.12735,2.7582,1.26605,0.000141781,0.000141781,0.000141781
7,82.903,0.92868,2.13143,1.12304,0.69361,0.48848,0.46506,0.34684,1.03413,3.1893,1.11134,0.000163802,0.000163802,0.000163802
8,93.9092,0.9036,2.00767,1.0479,0.36266,0.71429,0.50907,0.392,0.94702,3.36599,1.04202,0.000184922,0.000184922,0.000184922
9,104.563,0.872,1.90694,1.05719,0.7206,0.50648,0.62917,0.49474,0.9263,5.55049,0.97297,0.000205143,0.000205143,0.000205143
10,115.427,0.83714,1.81322,1.04224,0.87605,0.33333,0.55844,0.4153,0.91512,4.60952,0.96221,0.000224464,0.000224464,0.000224464
11,127.091,0.77548,1.44417,1.01132,0.78521,0.6802,0.69959,0.53563,0.90013,1.59229,0.95269,0.000242885,0.000242885,0.000242885
12,137.958,0.80075,1.46667,0.99104,0.41673,0.88095,0.66506,0.51947,0.90889,1.70933,0.95034,0.000260406,0.000260406,0.000260406
13,149.11,0.74452,1.17118,0.96498,0.50232,0.76723,0.69318,0.52269,0.8941,1.75002,0.95105,0.000277027,0.000277027,0.000277027
14,160.096,0.69965,1.1703,0.95036,0.44365,0.78571,0.69875,0.54593,0.84339,1.73422,0.94714,0.000292748,0.000292748,0.000292748
15,170.105,0.75704,1.03139,0.95042,0.37903,0.92857,0.6928,0.53489,0.85332,1.36682,0.95059,0.000307569,0.000307569,0.000307569
16,179.734,0.82234,1.06821,0.98923,0.42673,0.78571,0.79821,0.60322,0.94988,1.25481,0.99723,0.000321491,0.000321491,0.000321491
17,191.148,0.77654,0.95794,0.98046,0.45163,0.87623,0.75798,0.57552,1.0079,1.18412,1.0939,0.000334512,0.000334512,0.000334512
18,201.597,0.70853,0.93352,0.93999,0.90331,0.64679,0.80548,0.57682,1.02038,1.11114,1.08515,0.000346634,0.000346634,0.000346634
19,211.592,0.75592,0.88575,0.96241,0.94668,0.5525,0.79357,0.59642,0.97055,1.0252,1.08543,0.000357855,0.000357855,0.000357855
20,222.052,0.71208,0.83029,0.9576,0.96628,0.51845,0.75792,0.59459,0.87611,1.17105,1.13767,0.000368177,0.000368177,0.000368177
21,232.45,0.71305,0.80631,0.95355,0.71622,0.73632,0.76381,0.59803,0.90367,1.12961,1.06092,0.000377599,0.000377599,0.000377599
22,243.061,0.74472,0.88896,0.95759,0.72837,0.73517,0.76636,0.5829,0.95029,0.97351,1.01687,0.00038612,0.00038612,0.00038612
23,254.012,0.70236,0.73919,0.96686,0.77598,0.83301,0.82917,0.60562,0.97425,0.94309,1.01034,0.000393742,0.000393742,0.000393742
24,265.987,0.7245,0.91921,0.94975,0.51274,0.92857,0.78167,0.58034,0.906,1.02248,0.96979,0.000400464,0.000400464,0.000400464
25,275.714,0.74687,0.81344,0.99636,0.68254,0.77566,0.79345,0.60978,0.85774,1.08312,0.95773,0.000406287,0.000406287,0.000406287
26,285.76,0.64568,0.70444,0.91383,0.50577,0.77939,0.74607,0.5859,0.79712,1.15818,0.95357,0.000411209,0.000411209,0.000411209
27,296.396,0.66332,0.67743,0.93198,0.43655,0.76844,0.63615,0.54689,0.73026,1.1178,0.93153,0.000415231,0.000415231,0.000415231
