epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.965,1.18447,2.9842,1.53514,0.68224,0.37263,0.4216,0.25797,1.25015,1.46838,1.57986,0.000183851,0.000183851,0.000183851
2,984.394,1.08685,1.2355,1.40866,0.96717,0.32503,0.50495,0.37446,1.0733,1.26723,1.44193,0.000360047,0.000360047,0.000360047
3,1649.15,1.08307,1.11494,1.41331,0.64381,0.48009,0.48811,0.33012,1.11951,1.10015,1.46801,0.000527069,0.000527069,0.000527069
4,1948.41,1.07385,1.02545,1.41143,0.78439,0.43175,0.52484,0.35284,1.14089,1.25924,1.49224,0.000514717,0.000514717,0.000514717
5,2194.46,1.03557,0.97288,1.38573,0.37145,0.70403,0.55145,0.41404,0.97135,0.99022,1.32347,0.000500956,0.000500956,0.000500956
6,2468.26,1.00507,0.91371,1.3568,0.74602,0.5103,0.48182,0.3733,0.87248,1.21734,1.27399,0.000487195,0.000487195,0.000487195
7,2837.6,0.97558,0.85332,1.32936,0.44199,0.62179,0.55538,0.41992,0.94646,1.0486,1.29396,0.000473434,0.000473434,0.000473434
8,3205.69,0.94035,0.83859,1.31243,0.56393,0.68515,0.53195,0.38994,0.98747,0.91024,1.30956,0.000459673,0.000459673,0.000459673
9,3749.32,0.91158,0.77668,1.28772,0.64266,0.60944,0.61446,0.46424,0.83407,0.72421,1.22433,0.000445912,0.000445912,0.000445912
10,4181.11,0.89824,0.7794,1.28958,0.75899,0.57122,0.58725,0.46607,0.82172,0.7023,1.19432,0.000432151,0.000432151,0.000432151
11,4673,0.90353,0.75468,1.28584,0.41292,0.84593,0.56005,0.4672,0.74945,0.71184,1.15243,0.00041839,0.00041839,0.00041839
12,5102.23,0.87765,0.70542,1.26792,0.65907,0.65343,0.63374,0.51138,0.78054,0.67918,1.15597,0.000404629,0.000404629,0.000404629
13,5638.9,0.87377,0.6957,1.26027,0.71544,0.71154,0.72005,0.58684,0.78592,0.62175,1.14076,0.000390868,0.000390868,0.000390868
14,6050.12,0.84719,0.66839,1.24569,0.66944,0.68452,0.6882,0.53517,0.78275,0.6668,1.14936,0.000377107,0.000377107,0.000377107
15,6645.3,0.82573,0.65455,1.22915,0.57471,0.71099,0.71157,0.56554,0.78619,0.67895,1.15375,0.000363346,0.000363346,0.000363346
16,6999.26,0.81022,0.62572,1.21549,0.59722,0.78689,0.62624,0.49746,0.80092,0.64323,1.16478,0.000349585,0.000349585,0.000349585
17,7291.53,0.80507,0.6147,1.21673,0.58241,0.94873,0.83897,0.68,0.70677,0.585,1.09966,0.000335824,0.000335824,0.000335824
