epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1465,1.92255,6.49704,2.09561,0,0,0,0,2.87124,9.46516,2.75419,3.845e-05,3.845e-05,3.845e-05
2,28.4804,1.76345,5.90332,1.84394,0.67387,0.1875,0.23422,0.1315,1.2955,7.73713,1.37752,8.31943e-05,8.31943e-05,8.31943e-05
3,46.4398,1.20859,3.79511,1.40092,0.78686,0.3125,0.46486,0.37316,0.93064,14.3475,1.17238,0.000126416,0.000126416,0.000126416
4,64.7837,1.02639,2.73585,1.20751,0.40108,0.53504,0.38563,0.2917,0.89335,9.98318,1.04028,0.000168115,0.000168115,0.000168115
5,81.4981,0.90031,2.33793,1.15989,0.48182,0.5,0.55158,0.42512,0.75562,6.10996,0.9312,0.000208291,0.000208291,0.000208291
6,101.251,0.93837,2.31921,1.16143,0.37727,0.6875,0.59228,0.45807,0.78396,3.71715,0.94342,0.000246945,0.000246945,0.000246945
7,121.134,0.85352,1.92172,1.10527,0.39297,0.87937,0.70048,0.51426,0.87671,2.70431,1.05341,0.000284076,0.000284076,0.000284076
8,139.922,0.93047,1.63209,1.0746,0.46357,0.8836,0.7729,0.62283,0.73572,2.21139,0.94009,0.000319685,0.000319685,0.000319685
9,157.014,0.88247,1.65961,1.11946,0.3758,0.89371,0.72639,0.5887,0.78443,2.03721,0.95939,0.000353771,0.000353771,0.000353771
10,176.85,0.83105,1.37563,1.07549,0.66851,0.84774,0.80198,0.65159,0.79036,1.44848,0.93398,0.000386334,0.000386334,0.000386334
11,193.856,0.85055,1.36366,1.03796,0.70252,0.88487,0.85723,0.72711,0.72989,1.17088,0.90318,0.000417375,0.000417375,0.000417375
12,211.224,0.81878,1.24785,1.04071,0.48809,0.79205,0.82117,0.67532,0.73608,1.74357,0.92018,0.000446893,0.000446893,0.000446893
13,228.044,0.79477,1.09952,0.98671,0.43722,0.89583,0.77963,0.61549,0.81347,1.60149,0.9611,0.000474888,0.000474888,0.000474888
14,242.746,0.76108,1.0943,1.03459,0.64362,0.63772,0.67766,0.50976,0.81238,1.81597,0.95758,0.000501361,0.000501361,0.000501361
15,256.495,0.74991,1.12605,0.97463,0.54094,0.67708,0.83238,0.69202,0.77462,1.75565,0.93819,0.000526311,0.000526311,0.000526311
16,270.874,0.73821,0.98278,1,0.5891,0.46434,0.7392,0.57962,0.93194,1.78754,1.04206,0.000549739,0.000549739,0.000549739
17,286.606,0.82909,0.9449,1.03306,0.76702,0.48773,0.76854,0.57813,1.07942,1.74684,1.22309,0.000565984,0.000565984,0.000565984
18,303.987,0.80979,0.87545,1.04074,0.73168,0.53379,0.81531,0.59833,0.99978,1.66375,1.1648,0.000553296,0.000553296,0.000553296
